[ADMIN_ACCESS_SUCCESS] 2026-04-12T10:23:14.711Z | GET /api/admin/summary | ip=127.0.0.1 | host=localhost:3000 | origin=direct | referer=http://localhost:3000/dashboard | userAgent=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36 | reason=authenticated
[ADMIN_ACCESS_FAILED] 2026-04-24T18:10:00.737Z | GET /dashboard | ip=127.0.0.1 | host=127.0.0.1:3000 | origin=direct | referer=direct | userAgent=Mozilla/5.0 (Windows NT 10.0; Microsoft Windows 10.0.22631; en-IN) PowerShell/7.5.5 | reason=missing_credentials
[ADMIN_ACCESS_FAILED] 2026-04-26T11:54:11.792Z | GET /dashboard | ip=2409:40d2:10b3:a7b:45f2:3562:f97a:43cc | host=thrive-recopy-pyramid.ngrok-free.dev | origin=direct | referer=https://thrive-recopy-pyramid.ngrok-free.dev/about | userAgent=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 | reason=missing_credentials
[ADMIN_ACCESS_FAILED] 2026-04-26T11:57:50.926Z | GET /dashboard | ip=2409:40d2:10b3:a7b:45f2:3562:f97a:43cc | host=thrive-recopy-pyramid.ngrok-free.dev | origin=direct | referer=https://thrive-recopy-pyramid.ngrok-free.dev/about | userAgent=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 | reason=invalid_credentials
[ADMIN_ACCESS_FAILED] 2026-04-26T11:58:38.964Z | GET /dashboard | ip=106.200.6.23 | host=thrive-recopy-pyramid.ngrok-free.dev | origin=direct | referer=https://thrive-recopy-pyramid.ngrok-free.dev/about | userAgent=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 | reason=missing_credentials
[ADMIN_ACCESS_FAILED] 2026-04-26T11:58:54.036Z | GET /dashboard | ip=2409:40d2:10b3:a7b:45f2:3562:f97a:43cc | host=thrive-recopy-pyramid.ngrok-free.dev | origin=direct | referer=https://thrive-recopy-pyramid.ngrok-free.dev/about | userAgent=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 | reason=invalid_credentials
[ADMIN_ACCESS_SUCCESS] 2026-04-26T11:59:03.926Z | GET /dashboard | ip=106.200.6.23 | host=thrive-recopy-pyramid.ngrok-free.dev | origin=direct | referer=https://thrive-recopy-pyramid.ngrok-free.dev/about | userAgent=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 | reason=authenticated
[ADMIN_ACCESS_SUCCESS] 2026-04-26T11:59:05.513Z | GET /api/admin/summary | ip=106.200.6.23 | host=thrive-recopy-pyramid.ngrok-free.dev | origin=direct | referer=https://thrive-recopy-pyramid.ngrok-free.dev/dashboard | userAgent=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 | reason=authenticated
[ADMIN_ACCESS_SUCCESS] 2026-04-26T11:59:16.296Z | GET /api/admin/categories | ip=106.200.6.23 | host=thrive-recopy-pyramid.ngrok-free.dev | origin=direct | referer=https://thrive-recopy-pyramid.ngrok-free.dev/dashboard | userAgent=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 | reason=authenticated
[ADMIN_ACCESS_SUCCESS] 2026-04-26T12:00:52.532Z | GET /dashboard | ip=2409:40d2:10b3:a7b:45f2:3562:f97a:43cc | host=thrive-recopy-pyramid.ngrok-free.dev | origin=direct | referer=https://thrive-recopy-pyramid.ngrok-free.dev/about | userAgent=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 | reason=authenticated
[ADMIN_ACCESS_SUCCESS] 2026-04-26T12:00:54.289Z | GET /api/admin/summary | ip=2409:40d2:10b3:a7b:45f2:3562:f97a:43cc | host=thrive-recopy-pyramid.ngrok-free.dev | origin=direct | referer=https://thrive-recopy-pyramid.ngrok-free.dev/dashboard | userAgent=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 | reason=authenticated
[ADMIN_ACCESS_FAILED] 2026-04-29T17:27:26.767Z | GET /dashboard | ip=127.0.0.1 | host=localhost:3000 | origin=direct | referer=http://localhost:3000/about | userAgent=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 | reason=missing_credentials
[ADMIN_ACCESS_SUCCESS] 2026-04-29T17:28:02.419Z | GET /dashboard | ip=127.0.0.1 | host=localhost:3000 | origin=direct | referer=http://localhost:3000/about | userAgent=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 | reason=authenticated
